[{'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=1', 'sparsity': 1, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=2', 'sparsity': 2, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=4', 'sparsity': 4, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=8', 'sparsity': 8, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=16', 'sparsity': 16, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=32', 'sparsity': 32, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}]
 0it [00:00, ?it/s]   0%|          | 0/169001437 [00:01<?, ?it/s]   1%|          | 876544/169001437 [00:01<00:19, 8730499.72it/s]   2%|▏         | 2809856/169001437 [00:01<00:15, 10439432.56it/s]   3%|▎         | 5447680/169001437 [00:01<00:12, 12749186.54it/s]   5%|▌         | 8708096/169001437 [00:01<00:10, 15584964.01it/s]   7%|▋         | 11984896/169001437 [00:01<00:08, 18459176.83it/s]   9%|▉         | 15261696/169001437 [00:01<00:07, 21203443.34it/s]  11%|█         | 18538496/169001437 [00:01<00:06, 23663215.50it/s]  13%|█▎        | 21823488/169001437 [00:01<00:05, 25830104.00it/s]  15%|█▍        | 25010176/169001437 [00:02<00:05, 27332788.37it/s]  17%|█▋        | 28237824/169001437 [00:02<00:04, 28555177.24it/s]  19%|█▊        | 31432704/169001437 [00:02<00:04, 29418485.37it/s]  21%|██        | 35725312/169001437 [00:02<00:04, 32483741.75it/s]  25%|██▌       | 42409984/169001437 [00:02<00:03, 38396959.14it/s]  31%|███       | 52142080/169001437 [00:02<00:02, 46896481.99it/s]  37%|███▋      | 62726144/169001437 [00:02<00:01, 56300348.48it/s]  43%|████▎     | 73293824/169001437 [00:02<00:01, 65461546.22it/s]  50%|████▉     | 83902464/169001437 [00:02<00:01, 73957700.81it/s]  56%|█████▌    | 94363648/169001437 [00:02<00:00, 81067896.20it/s]  62%|██████▏   | 104849408/169001437 [00:03<00:00, 86951051.23it/s]  68%|██████▊   | 115335168/169001437 [00:03<00:00, 91641735.43it/s]  74%|███████▍  | 125313024/169001437 [00:03<00:00, 93853067.21it/s]  80%|████████  | 135282688/169001437 [00:03<00:00, 86571291.69it/s]  87%|████████▋ | 146284544/169001437 [00:03<00:00, 92457741.32it/s]  93%|█████████▎| 156901376/169001437 [00:03<00:00, 96117737.13it/s]  99%|█████████▉| 167124992/169001437 [00:03<00:00, 97860650.75it/s] 169009152it [00:03, 42605295.13it/s]                               => Reading YAML config from experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml
=> Saving data in runs/SupsupSeed/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=1~try=0
Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ./data/cifar100/cifar-100-python.tar.gz
Extracting ./data/cifar100/cifar-100-python.tar.gz to ./data/cifar100
Files already downloaded and verified
[26 86  2 55 75 93 16 73 54 95 53 92 78 13  7 30 22 24 33  8 43 62  3 71
 45 48  6 99 82 76 60 80 90 68 51 27 18 56 63 74  1 61 42 41  4 15 17 40
 38  5 91 59  0 34 28 50 11 35 23 52 10 31 66 57 79 85 32 84 14 89 19 29
 49 97 98 69 20 94 72 77 25 37 81 46 39 65 58 12 88 70 87 36 21 83  9 96
 67 64 47 44]
[26 86  2 55 75]
[93 16 73 54 95]
[53 92 78 13  7]
Set sparsity of conv1 to 0.04259259259259259
Set sparsity of layer1.0.conv1 to 0.011111111111111112
Set sparsity of layer1.0.conv2 to 0.011111111111111112
Set sparsity of layer1.1.conv1 to 0.011111111111111112
Set sparsity of layer1.1.conv2 to 0.011111111111111112
Set sparsity of layer2.0.conv1 to 0.008333333333333333
Set sparsity of layer2.0.conv2 to 0.005555555555555556
Set sparsity of layer2.0.shortcut.0 to 0.075
Set sparsity of layer2.1.conv1 to 0.005555555555555556
Set sparsity of layer2.1.conv2 to 0.005555555555555556
Set sparsity of layer3.0.conv1 to 0.004166666666666667
Set sparsity of layer3.0.conv2 to 0.002777777777777778
Set sparsity of layer3.0.shortcut.0 to 0.0375
Set sparsity of layer3.1.conv1 to 0.002777777777777778
Set sparsity of layer3.1.conv2 to 0.002777777777777778
Set sparsity of layer4.0.conv1 to 0.0020833333333333333
Set sparsity of layer4.0.conv2 to 0.001388888888888889
Set sparsity of layer4.0.shortcut.0 to 0.01875
Set sparsity of layer4.1.conv1 to 0.001388888888888889
Set sparsity of layer4.1.conv2 to 0.001388888888888889
Set sparsity of linear to 0.20625
=> Parallelizing on [0] gpus
=> Using trainer <module 'trainers.default' from '/home/at2507/supsup_team/supsup/trainers/default.py'>

Train Epoch: 189 [0/2500 (0%)]	Loss: 0.504735
Train Epoch: 189 [1280/2500 (50%)]	Loss: 0.609410

Test set: Average loss: 0.6937, Accuracy: (0.7240)

Train Epoch: 190 [0/2500 (0%)]	Loss: 0.555143
Train Epoch: 190 [1280/2500 (50%)]	Loss: 0.588246

Test set: Average loss: 0.6738, Accuracy: (0.7680)

Train Epoch: 191 [0/2500 (0%)]	Loss: 0.514672
Train Epoch: 191 [1280/2500 (50%)]	Loss: 0.526419

Test set: Average loss: 0.7335, Accuracy: (0.7320)

Train Epoch: 192 [0/2500 (0%)]	Loss: 0.516294
Train Epoch: 192 [1280/2500 (50%)]	Loss: 0.438880

Test set: Average loss: 0.6704, Accuracy: (0.7420)

Train Epoch: 193 [0/2500 (0%)]	Loss: 0.621257
Train Epoch: 193 [1280/2500 (50%)]	Loss: 0.302875

Test set: Average loss: 0.6503, Accuracy: (0.7760)

Train Epoch: 194 [0/2500 (0%)]	Loss: 0.453752
Train Epoch: 194 [1280/2500 (50%)]	Loss: 0.505599

Test set: Average loss: 0.6873, Accuracy: (0.7240)

Train Epoch: 195 [0/2500 (0%)]	Loss: 0.346376
Train Epoch: 195 [1280/2500 (50%)]	Loss: 0.480959

Test set: Average loss: 0.6471, Accuracy: (0.7560)

Train Epoch: 196 [0/2500 (0%)]	Loss: 0.470177
Train Epoch: 196 [1280/2500 (50%)]	Loss: 0.617619

Test set: Average loss: 0.6228, Accuracy: (0.7900)

Train Epoch: 197 [0/2500 (0%)]	Loss: 0.443371
Train Epoch: 197 [1280/2500 (50%)]	Loss: 0.655990

Test set: Average loss: 0.6521, Accuracy: (0.7500)

Train Epoch: 198 [0/2500 (0%)]	Loss: 0.433524
Train Epoch: 198 [1280/2500 (50%)]	Loss: 0.433678

Test set: Average loss: 0.6771, Accuracy: (0.7540)

Train Epoch: 199 [0/2500 (0%)]	Loss: 0.491129
Train Epoch: 199 [1280/2500 (50%)]	Loss: 0.432370

Test set: Average loss: 0.6599, Accuracy: (0.7740)

Train Epoch: 200 [0/2500 (0%)]	Loss: 0.470420
Train Epoch: 200 [1280/2500 (50%)]	Loss: 0.432156

Test set: Average loss: 0.6959, Accuracy: (0.7500)

Train Epoch: 201 [0/2500 (0%)]	Loss: 0.464002
Train Epoch: 201 [1280/2500 (50%)]	Loss: 0.545660

Test set: Average loss: 0.6666, Accuracy: (0.7420)

Train Epoch: 202 [0/2500 (0%)]	Loss: 0.415750
Train Epoch: 202 [1280/2500 (50%)]	Loss: 0.515566

Test set: Average loss: 0.6914, Accuracy: (0.7360)

Train Epoch: 203 [0/2500 (0%)]	Loss: 0.514435
Train Epoch: 203 [1280/2500 (50%)]	Loss: 0.477300

Test set: Average loss: 0.6746, Accuracy: (0.7580)

Train Epoch: 204 [0/2500 (0%)]	Loss: 0.557258
Train Epoch: 204 [1280/2500 (50%)]	Loss: 0.488955

Test set: Average loss: 0.6550, Accuracy: (0.7540)

Train Epoch: 205 [0/2500 (0%)]	Loss: 0.357105
Train Epoch: 205 [1280/2500 (50%)]	Loss: 0.307826

Test set: Average loss: 0.6870, Accuracy: (0.7260)

Train Epoch: 206 [0/2500 (0%)]	Loss: 0.570303
Train Epoch: 206 [1280/2500 (50%)]	Loss: 0.499689

Test set: Average loss: 0.6876, Accuracy: (0.7460)

Train Epoch: 207 [0/2500 (0%)]	Loss: 0.436519
Train Epoch: 207 [1280/2500 (50%)]	Loss: 0.457082

Test set: Average loss: 0.6512, Accuracy: (0.7620)

Train Epoch: 208 [0/2500 (0%)]	Loss: 0.498038
Train Epoch: 208 [1280/2500 (50%)]	Loss: 0.422560

Test set: Average loss: 0.6553, Accuracy: (0.7620)

Train Epoch: 209 [0/2500 (0%)]	Loss: 0.454010
Train Epoch: 209 [1280/2500 (50%)]	Loss: 0.565845

Test set: Average loss: 0.6538, Accuracy: (0.7580)

Train Epoch: 210 [0/2500 (0%)]	Loss: 0.376035
Train Epoch: 210 [1280/2500 (50%)]	Loss: 0.426545

Test set: Average loss: 0.6638, Accuracy: (0.7540)

Train Epoch: 211 [0/2500 (0%)]	Loss: 0.577830
Train Epoch: 211 [1280/2500 (50%)]	Loss: 0.458626

Test set: Average loss: 0.7131, Accuracy: (0.7320)

Train Epoch: 212 [0/2500 (0%)]	Loss: 0.501457
Train Epoch: 212 [1280/2500 (50%)]	Loss: 0.443668

Test set: Average loss: 0.6969, Accuracy: (0.7560)

Train Epoch: 213 [0/2500 (0%)]	Loss: 0.416782
Train Epoch: 213 [1280/2500 (50%)]	Loss: 0.485099

Test set: Average loss: 0.7185, Accuracy: (0.7440)

Train Epoch: 214 [0/2500 (0%)]	Loss: 0.489942
Train Epoch: 214 [1280/2500 (50%)]	Loss: 0.591141

Test set: Average loss: 0.6428, Accuracy: (0.7620)

Train Epoch: 215 [0/2500 (0%)]	Loss: 0.474912
Train Epoch: 215 [1280/2500 (50%)]	Loss: 0.419479

Test set: Average loss: 0.6551, Accuracy: (0.7740)

Train Epoch: 216 [0/2500 (0%)]	Loss: 0.432660
Train Epoch: 216 [1280/2500 (50%)]	Loss: 0.571234

Test set: Average loss: 0.6756, Accuracy: (0.7580)

Train Epoch: 217 [0/2500 (0%)]	Loss: 0.453243
Train Epoch: 217 [1280/2500 (50%)]	Loss: 0.409469

Test set: Average loss: 0.6893, Accuracy: (0.7520)

Train Epoch: 218 [0/2500 (0%)]	Loss: 0.539964
Train Epoch: 218 [1280/2500 (50%)]	Loss: 0.445775

Test set: Average loss: 0.6617, Accuracy: (0.7560)

Train Epoch: 219 [0/2500 (0%)]	Loss: 0.505148
Train Epoch: 219 [1280/2500 (50%)]	Loss: 0.353869

Test set: Average loss: 0.6265, Accuracy: (0.7940)

Train Epoch: 220 [0/2500 (0%)]	Loss: 0.504186
Train Epoch: 220 [1280/2500 (50%)]	Loss: 0.542931

Test set: Average loss: 0.6899, Accuracy: (0.7480)

Train Epoch: 221 [0/2500 (0%)]	Loss: 0.346982
Train Epoch: 221 [1280/2500 (50%)]	Loss: 0.498161

Test set: Average loss: 0.6478, Accuracy: (0.7680)

Train Epoch: 222 [0/2500 (0%)]	Loss: 0.542049
Train Epoch: 222 [1280/2500 (50%)]	Loss: 0.466087

Test set: Average loss: 0.6866, Accuracy: (0.7580)

Train Epoch: 223 [0/2500 (0%)]	Loss: 0.477232
Train Epoch: 223 [1280/2500 (50%)]	Loss: 0.373419

Test set: Average loss: 0.7333, Accuracy: (0.7460)

Train Epoch: 224 [0/2500 (0%)]	Loss: 0.461320
Train Epoch: 224 [1280/2500 (50%)]	Loss: 0.409050

Test set: Average loss: 0.6851, Accuracy: (0.7620)

Train Epoch: 225 [0/2500 (0%)]	Loss: 0.498125
Train Epoch: 225 [1280/2500 (50%)]	Loss: 0.549980

Test set: Average loss: 0.6456, Accuracy: (0.7720)

Train Epoch: 226 [0/2500 (0%)]	Loss: 0.509753
Train Epoch: 226 [1280/2500 (50%)]	Loss: 0.542322

Test set: Average loss: 0.6798, Accuracy: (0.7780)

Train Epoch: 227 [0/2500 (0%)]	Loss: 0.453535
Train Epoch: 227 [1280/2500 (50%)]	Loss: 0.488516

Test set: Average loss: 0.6576, Accuracy: (0.7660)

Train Epoch: 228 [0/2500 (0%)]	Loss: 0.422157
Train Epoch: 228 [1280/2500 (50%)]	Loss: 0.391760

Test set: Average loss: 0.6961, Accuracy: (0.7300)

Train Epoch: 229 [0/2500 (0%)]	Loss: 0.446093
Train Epoch: 229 [1280/2500 (50%)]	Loss: 0.467425

Test set: Average loss: 0.6807, Accuracy: (0.7540)

Train Epoch: 230 [0/2500 (0%)]	Loss: 0.409270
Train Epoch: 230 [1280/2500 (50%)]	Loss: 0.428059

Test set: Average loss: 0.6572, Accuracy: (0.7580)

Train Epoch: 231 [0/2500 (0%)]	Loss: 0.447452
Train Epoch: 231 [1280/2500 (50%)]	Loss: 0.490543

Test set: Average loss: 0.6793, Accuracy: (0.7660)

Train Epoch: 232 [0/2500 (0%)]	Loss: 0.390915
Train Epoch: 232 [1280/2500 (50%)]	Loss: 0.422629

Test set: Average loss: 0.6326, Accuracy: (0.7780)

Train Epoch: 233 [0/2500 (0%)]	Loss: 0.405574
Train Epoch: 233 [1280/2500 (50%)]	Loss: 0.586836

Test set: Average loss: 0.6599, Accuracy: (0.7560)

Train Epoch: 234 [0/2500 (0%)]	Loss: 0.533209
Train Epoch: 234 [1280/2500 (50%)]	Loss: 0.378018

Test set: Average loss: 0.6954, Accuracy: (0.7560)

Train Epoch: 235 [0/2500 (0%)]	Loss: 0.500706
Train Epoch: 235 [1280/2500 (50%)]	Loss: 0.530380

Test set: Average loss: 0.6249, Accuracy: (0.7800)

Train Epoch: 236 [0/2500 (0%)]	Loss: 0.370501
Train Epoch: 236 [1280/2500 (50%)]	Loss: 0.518755

Test set: Average loss: 0.6514, Accuracy: (0.7800)

Train Epoch: 237 [0/2500 (0%)]	Loss: 0.420268
Train Epoch: 237 [1280/2500 (50%)]	Loss: 0.564700

Test set: Average loss: 0.6240, Accuracy: (0.7760)

Train Epoch: 238 [0/2500 (0%)]	Loss: 0.336727
Train Epoch: 238 [1280/2500 (50%)]	Loss: 0.477344

Test set: Average loss: 0.7003, Accuracy: (0.7540)

Train Epoch: 239 [0/2500 (0%)]	Loss: 0.454368
Train Epoch: 239 [1280/2500 (50%)]	Loss: 0.414241

Test set: Average loss: 0.6545, Accuracy: (0.7620)

Train Epoch: 240 [0/2500 (0%)]	Loss: 0.315975
Train Epoch: 240 [1280/2500 (50%)]	Loss: 0.358902

Test set: Average loss: 0.6693, Accuracy: (0.7760)

Train Epoch: 241 [0/2500 (0%)]	Loss: 0.434119
Train Epoch: 241 [1280/2500 (50%)]	Loss: 0.508237

Test set: Average loss: 0.6831, Accuracy: (0.7580)

Train Epoch: 242 [0/2500 (0%)]	Loss: 0.470596
Train Epoch: 242 [1280/2500 (50%)]	Loss: 0.396243

Test set: Average loss: 0.6619, Accuracy: (0.7680)

Train Epoch: 243 [0/2500 (0%)]	Loss: 0.448003
Train Epoch: 243 [1280/2500 (50%)]	Loss: 0.448265

Test set: Average loss: 0.6632, Accuracy: (0.7700)

Train Epoch: 244 [0/2500 (0%)]	Loss: 0.350202
Train Epoch: 244 [1280/2500 (50%)]	Loss: 0.536595

Test set: Average loss: 0.6114, Accuracy: (0.7880)

Train Epoch: 245 [0/2500 (0%)]	Loss: 0.417966
Train Epoch: 245 [1280/2500 (50%)]	Loss: 0.390662

Test set: Average loss: 0.6433, Accuracy: (0.7780)

Train Epoch: 246 [0/2500 (0%)]	Loss: 0.541029
Train Epoch: 246 [1280/2500 (50%)]	Loss: 0.362303

Test set: Average loss: 0.6362, Accuracy: (0.7620)

Train Epoch: 247 [0/2500 (0%)]	Loss: 0.352116
Train Epoch: 247 [1280/2500 (50%)]	Loss: 0.463672

Test set: Average loss: 0.5832, Accuracy: (0.7920)

Train Epoch: 248 [0/2500 (0%)]	Loss: 0.377166
Train Epoch: 248 [1280/2500 (50%)]	Loss: 0.467312

Test set: Average loss: 0.6800, Accuracy: (0.7560)

Train Epoch: 249 [0/2500 (0%)]	Loss: 0.391453
Train Epoch: 249 [1280/2500 (50%)]	Loss: 0.361596

Test set: Average loss: 0.6293, Accuracy: (0.7820)

Train Epoch: 250 [0/2500 (0%)]	Loss: 0.451773
Train Epoch: 250 [1280/2500 (50%)]	Loss: 0.431399

Test set: Average loss: 0.6201, Accuracy: (0.7840)

Task RandSplitCIFAR100: 1
Train Epoch: 1 [0/2500 (0%)]	Loss: 1.672239
Train Epoch: 1 [1280/2500 (50%)]	Loss: 1.222433

Test set: Average loss: 1.2488, Accuracy: (0.4540)

Train Epoch: 2 [0/2500 (0%)]	Loss: 1.171950
Train Epoch: 2 [1280/2500 (50%)]	Loss: 1.178575

Test set: Average loss: 1.1226, Accuracy: (0.5480)

Train Epoch: 3 [0/2500 (0%)]	Loss: 1.144663
Train Epoch: 3 [1280/2500 (50%)]	Loss: 1.072276

Test set: Average loss: 1.1064, Accuracy: (0.5520)

Train Epoch: 4 [0/2500 (0%)]	Loss: 1.022108
Train Epoch: 4 [1280/2500 (50%)]	Loss: 1.049582

Test set: Average loss: 1.1597, Accuracy: (0.4980)

Train Epoch: 5 [0/2500 (0%)]	Loss: 1.120747
Train Epoch: 5 [1280/2500 (50%)]	Loss: 0.990416

Test set: Average loss: 1.0390, Accuracy: (0.5560)

Train Epoch: 6 [0/2500 (0%)]	Loss: 0.987167
Train Epoch: 6 [1280/2500 (50%)]	Loss: 0.945282

Test set: Average loss: 1.0528, Accuracy: (0.5840)

Train Epoch: 7 [0/2500 (0%)]	Loss: 1.002939
Train Epoch: 7 [1280/2500 (50%)]	Loss: 0.981366

Test set: Average loss: 1.0116, Accuracy: (0.5880)

Train Epoch: 8 [0/2500 (0%)]	Loss: 0.959378
Train Epoch: 8 [1280/2500 (50%)]	Loss: 1.098280

Test set: Average loss: 0.9962, Accuracy: (0.5940)

Train Epoch: 9 [0/2500 (0%)]	Loss: 0.928994
Train Epoch: 9 [1280/2500 (50%)]	Loss: 0.914305

Test set: Average loss: 1.0064, Accuracy: (0.5780)

Train Epoch: 10 [0/2500 (0%)]	Loss: 0.883195
Train Epoch: 10 [1280/2500 (50%)]	Loss: 0.830715

Test set: Average loss: 0.9458, Accuracy: (0.6420)

Train Epoch: 11 [0/2500 (0%)]	Loss: 0.797585
Train Epoch: 11 [1280/2500 (50%)]	Loss: 1.037119

Test set: Average loss: 1.0331, Accuracy: (0.5840)

Train Epoch: 12 [0/2500 (0%)]	Loss: 0.850964
Train Epoch: 12 [1280/2500 (50%)]	Loss: 0.804887

Test set: Average loss: 0.9782, Accuracy: (0.6060)

Train Epoch: 13 [0/2500 (0%)]	Loss: 0.984944
Train Epoch: 13 [1280/2500 (50%)]	Loss: 1.042108

Test set: Average loss: 0.9157, Accuracy: (0.6440)

Train Epoch: 14 [0/2500 (0%)]	Loss: 0.756769
Train Epoch: 14 [1280/2500 (50%)]	Loss: 0.790584

Test set: Average loss: 0.9003, Accuracy: (0.6520)

Train Epoch: 15 [0/2500 (0%)]	Loss: 0.925152
Train Epoch: 15 [1280/2500 (50%)]	Loss: 0.957159

Test set: Average loss: 0.9079, Accuracy: (0.6420)

Train Epoch: 16 [0/2500 (0%)]	Loss: 0.811078
Train Epoch: 16 [1280/2500 (50%)]	Loss: 0.881095

Test set: Average loss: 0.9285, Accuracy: (0.6440)

Train Epoch: 17 [0/2500 (0%)]	Loss: 0.880202
Train Epoch: 17 [1280/2500 (50%)]	Loss: 0.942995

Test set: Average loss: 0.8830, Accuracy: (0.6500)

Train Epoch: 18 [0/2500 (0%)]	Loss: 0.877123
Train Epoch: 18 [1280/2500 (50%)]	Loss: 0.774557

Test set: Average loss: 0.9852, Accuracy: (0.6280)

Train Epoch: 19 [0/2500 (0%)]	Loss: 0.925871
Train Epoch: 19 [1280/2500 (50%)]	Loss: 0.980824

Test set: Average loss: 0.8335, Accuracy: (0.6740)

Train Epoch: 20 [0/2500 (0%)]	Loss: 0.941608
Train Epoch: 20 [1280/2500 (50%)]	Loss: 0.820543

Test set: Average loss: 0.9422, Accuracy: (0.6240)

Train Epoch: 21 [0/2500 (0%)]	Loss: 0.837035
Train Epoch: 21 [1280/2500 (50%)]	Loss: 0.884210

Test set: Average loss: 0.9190, Accuracy: (0.6540)

Train Epoch: 22 [0/2500 (0%)]	Loss: 0.828329
Train Epoch: 22 [1280/2500 (50%)]	Loss: 0.773505

Test set: Average loss: 0.9150, Accuracy: (0.6500)

Train Epoch: 23 [0/2500 (0%)]	Loss: 0.813440
Train Epoch: 23 [1280/2500 (50%)]	Loss: 0.733213

Test set: Average loss: 0.8902, Accuracy: (0.6460)

Train Epoch: 24 [0/2500 (0%)]	Loss: 0.815608
Train Epoch: 24 [1280/2500 (50%)]	Loss: 0.881317

Test set: Average loss: 0.8517, Accuracy: (0.6660)

Train Epoch: 25 [0/2500 (0%)]	Loss: 0.786383
Train Epoch: 25 [1280/2500 (50%)]	Loss: 0.879485

Test set: Average loss: 0.8455, Accuracy: (0.6680)

Train Epoch: 26 [0/2500 (0%)]	Loss: 0.723866
Train Epoch: 26 [1280/2500 (50%)]	Loss: 0.758971

Test set: Average loss: 0.8398, Accuracy: (0.6860)

Train Epoch: 27 [0/2500 (0%)]	Loss: 0.906414
Train Epoch: 27 [1280/2500 (50%)]	Loss: 0.874065

Test set: Average loss: 0.8285, Accuracy: (0.6820)

Train Epoch: 28 [0/2500 (0%)]	Loss: 0.718018
Train Epoch: 28 [1280/2500 (50%)]	Loss: 0.730830

Test set: Average loss: 0.8561, Accuracy: (0.6820)

Train Epoch: 29 [0/2500 (0%)]	Loss: 0.814911
Train Epoch: 29 [1280/2500 (50%)]	Loss: 0.914843

Test set: Average loss: 0.8277, Accuracy: (0.7020)

Train Epoch: 30 [0/2500 (0%)]	Loss: 0.727910
Train Epoch: 30 [1280/2500 (50%)]	Loss: 0.745346

Test set: Average loss: 0.8192, Accuracy: (0.6820)

Train Epoch: 31 [0/2500 (0%)]	Loss: 0.759965
Train Epoch: 31 [1280/2500 (50%)]	Loss: 0.633041

Test set: Average loss: 0.7998, Accuracy: (0.7080)

Train Epoch: 32 [0/2500 (0%)]	Loss: 0.714518
Train Epoch: 32 [1280/2500 (50%)]	Loss: 0.831775

Test set: Average loss: 0.7895, Accuracy: (0.7000)

Train Epoch: 33 [0/2500 (0%)]	Loss: 0.841107
Train Epoch: 33 [1280/2500 (50%)]	Loss: 0.906835

Test set: Average loss: 0.7765, Accuracy: (0.7380)

Train Epoch: 34 [0/2500 (0%)]	Loss: 0.620827
Train Epoch: 34 [1280/2500 (50%)]	Loss: 0.894957

Test set: Average loss: 0.7744, Accuracy: (0.6920)

Train Epoch: 35 [0/2500 (0%)]	Loss: 0.637853
Train Epoch: 35 [1280/2500 (50%)]	Loss: 0.838641

Test set: Average loss: 0.7617, Accuracy: (0.7100)

Train Epoch: 36 [0/2500 (0%)]	Loss: 0.650239
Train Epoch: 36 [1280/2500 (50%)]	Loss: 0.706713

Test set: Average loss: 0.7751, Accuracy: (0.7060)

Train Epoch: 37 [0/2500 (0%)]	Loss: 0.742997
Train Epoch: 37 [1280/2500 (50%)]	Loss: 0.787008

Test set: Average loss: 0.8271, Accuracy: (0.6980)

Train Epoch: 38 [0/2500 (0%)]	Loss: 0.715240
Train Epoch: 38 [1280/2500 (50%)]	Loss: 0.676200

Test set: Average loss: 0.8111, Accuracy: (0.6780)

Train Epoch: 39 [0/2500 (0%)]	Loss: 0.666195
Train Epoch: 39 [1280/2500 (50%)]	Loss: 0.640354

Test set: Average loss: 0.8044, Accuracy: (0.6920)

Train Epoch: 40 [0/2500 (0%)]	Loss: 0.773167
Train Epoch: 40 [1280/2500 (50%)]	Loss: 0.772349

Test set: Average loss: 0.7798, Accuracy: (0.7120)

Train Epoch: 41 [0/2500 (0%)]	Loss: 0.703082
Train Epoch: 41 [1280/2500 (50%)]	Loss: 0.767201

Test set: Average loss: 0.8043, Accuracy: (0.6840)

Train Epoch: 42 [0/2500 (0%)]	Loss: 0.645112
Train Epoch: 42 [1280/2500 (50%)]	Loss: 0.669755

Test set: Average loss: 0.7747, Accuracy: (0.7060)

Train Epoch: 43 [0/2500 (0%)]	Loss: 0.734601
Train Epoch: 43 [1280/2500 (50%)]	Loss: 0.617772

Test set: Average loss: 0.7791, Accuracy: (0.7040)

Train Epoch: 44 [0/2500 (0%)]	Loss: 0.716986
Train Epoch: 44 [1280/2500 (50%)]	Loss: 0.664310

Test set: Average loss: 0.7552, Accuracy: (0.7440)

Train Epoch: 45 [0/2500 (0%)]	Loss: 0.696886
Train Epoch: 45 [1280/2500 (50%)]	Loss: 0.648071

Test set: Average loss: 0.7786, Accuracy: (0.7240)

Train Epoch: 46 [0/2500 (0%)]	Loss: 0.682902
Train Epoch: 46 [1280/2500 (50%)]	Loss: 0.831174

Test set: Average loss: 0.7404, Accuracy: (0.7480)

Train Epoch: 47 [0/2500 (0%)]	Loss: 0.791268
Train Epoch: 47 [1280/2500 (50%)]	Loss: 0.780376

Test set: Average loss: 0.8454, Accuracy: (0.6840)

Train Epoch: 48 [0/2500 (0%)]	Loss: 0.772915
Train Epoch: 48 [1280/2500 (50%)]	Loss: 0.737931

Test set: Average loss: 0.7729, Accuracy: (0.7120)

Train Epoch: 49 [0/2500 (0%)]	Loss: 0.547745
Train Epoch: 49 [1280/2500 (50%)]	Loss: 0.640893

Test set: Average loss: 0.7100, Accuracy: (0.7100)

Train Epoch: 50 [0/2500 (0%)]	Loss: 0.627424
Train Epoch: 50 [1280/2500 (50%)]	Loss: 0.850250

Test set: Average loss: 0.7503, Accuracy: (0.7040)

Train Epoch: 51 [0/2500 (0%)]	Loss: 0.730889
Train Epoch: 51 [1280/2500 (50%)]	Loss: 0.667279

Test set: Average loss: 0.7450, Accuracy: (0.7100)

Train Epoch: 52 [0/2500 (0%)]	Loss: 0.683178
Train Epoch: 52 [1280/2500 (50%)]	Loss: 0.644041

Test set: Average loss: 0.7363, Accuracy: (0.7320)

Train Epoch: 53 [0/2500 (0%)]	Loss: 0.577813
Train Epoch: 53 [1280/2500 (50%)]	Loss: 0.684428

Test set: Average loss: 0.7540, Accuracy: (0.7160)

Train Epoch: 54 [0/2500 (0%)]	Loss: 0.607957
Train Epoch: 54 [1280/2500 (50%)]	Loss: 0.807161

Test set: Average loss: 0.7327, Accuracy: (0.7200)

Train Epoch: 55 [0/2500 (0%)]	Loss: 0.648503
Train Epoch: 55 [1280/2500 (50%)]	Loss: 0.674721

